stream_BC,pump,analytical,apportionment,method,Time,MSE.overall,KGE.overall
SFR,Intermittent,hunt,Dynamic,Qf.Web,3578.7,0.00218762961597191,0.0327762262252836
SFR,Intermittent,hunt,Dynamic,Qf.Web,3589,0.00221249289119486,0.0423930584815874
SFR,Intermittent,hunt,Dynamic,Qf.Web,3599,0.00199427113840466,0.0263640384989975
SFR,Intermittent,hunt,Dynamic,Qf.Web,3609,0.0017007056001643,0.0359240812515317
SFR,Intermittent,hunt,Dynamic,Qf.Web,3619,0.00156709590697449,0.0322657451952678
SFR,Intermittent,hunt,Dynamic,Qf.Web,3629.3,0.00148786770465288,0.018776340341671
SFR,Intermittent,hunt,Dynamic,Qf.Web,3639.7,0.00138207928247076,0.0216935223828244
SFR,Intermittent,hunt,Dynamic,Qf.Web,3650,0.00131721869273591,0.0227784997509941
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,161,0.00217548769423368,-0.120716234831678
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,171,0.00835591674499042,0.109180738510898
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,181,0.00708100464686102,0.210932786560631
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,191.3,0.00812571064177674,0.29144974044647
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,201.7,0.0116966144016872,0.0210144919588393
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,212,0.0140611352461974,-0.277093576554475
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,222.3,0.0124669792726488,-0.0746224296247555
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,232.7,0.0194670172862357,-1.50871480032762
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,243,0.0153547353900274,-0.321228332253937
SFR,Intermittent,hunt,Dynamic,Qf.WebSq,253,0.0217718912859189,-1.49680545866395
