"row" "col" "lay" "lon" "lat" "WellNum" "ztop_m"
124 112 0 458634.12422272 4319604.71038478 257 295.639953613281
128 112 0 458634.12422272 4318604.71038478 258 417.224853515625
132 112 0 458634.12422272 4317604.71038478 259 241.836730957031
136 112 0 458634.12422272 4316604.71038478 260 303.582336425781
140 112 0 458634.12422272 4315604.71038478 261 466.433929443359
144 112 0 458634.12422272 4314604.71038478 262 657.758911132812
40 116 0 459634.12422272 4340604.71038478 263 221.40950012207
44 116 0 459634.12422272 4339604.71038478 264 382.0185546875
48 116 0 459634.12422272 4338604.71038478 265 221.302825927734
52 116 0 459634.12422272 4337604.71038478 266 425.511688232422
56 116 0 459634.12422272 4336604.71038478 267 304.084899902344
60 116 0 459634.12422272 4335604.71038478 268 280.43505859375
64 116 0 459634.12422272 4334604.71038478 269 181.418121337891
68 116 0 459634.12422272 4333604.71038478 270 312.100189208984
72 116 0 459634.12422272 4332604.71038478 271 330.272796630859
76 116 0 459634.12422272 4331604.71038478 272 355.470306396484
84 116 0 459634.12422272 4329604.71038478 273 220.873306274414
88 116 0 459634.12422272 4328604.71038478 274 229.381271362305
92 116 0 459634.12422272 4327604.71038478 275 128.771835327148
96 116 0 459634.12422272 4326604.71038478 276 149.780517578125
100 116 0 459634.12422272 4325604.71038478 277 55.0062637329102
104 116 0 459634.12422272 4324604.71038478 278 61.8462448120117
108 116 0 459634.12422272 4323604.71038478 279 234.567794799805
112 116 0 459634.12422272 4322604.71038478 280 247.377792358398
116 116 0 459634.12422272 4321604.71038478 281 341.107025146484
128 116 0 459634.12422272 4318604.71038478 282 173.352737426758
132 116 0 459634.12422272 4317604.71038478 283 211.777160644531
136 116 0 459634.12422272 4316604.71038478 284 369.20361328125
140 116 0 459634.12422272 4315604.71038478 285 266.452270507812
144 116 0 459634.12422272 4314604.71038478 286 361.758819580078
148 116 0 459634.12422272 4313604.71038478 287 555.030944824219
40 120 0 460634.12422272 4340604.71038478 288 332.107421875
44 120 0 460634.12422272 4339604.71038478 289 385.605072021484
48 120 0 460634.12422272 4338604.71038478 290 276.078735351562
52 120 0 460634.12422272 4337604.71038478 291 366.654022216797
56 120 0 460634.12422272 4336604.71038478 292 369.694183349609
60 120 0 460634.12422272 4335604.71038478 293 443.761688232422
64 120 0 460634.12422272 4334604.71038478 294 224.18017578125
68 120 0 460634.12422272 4333604.71038478 295 243.62532043457
72 120 0 460634.12422272 4332604.71038478 296 352.515472412109
76 120 0 460634.12422272 4331604.71038478 297 293.147430419922
80 120 0 460634.12422272 4330604.71038478 298 220.797088623047
84 120 0 460634.12422272 4329604.71038478 299 332.593017578125
88 120 0 460634.12422272 4328604.71038478 300 410.508575439453
92 120 0 460634.12422272 4327604.71038478 301 351.029632568359
96 120 0 460634.12422272 4326604.71038478 302 203.142913818359
100 120 0 460634.12422272 4325604.71038478 303 105.036315917969
104 120 0 460634.12422272 4324604.71038478 304 78.0909957885742
108 120 0 460634.12422272 4323604.71038478 305 110.718635559082
112 120 0 460634.12422272 4322604.71038478 306 205.177856445312
116 120 0 460634.12422272 4321604.71038478 307 310.365478515625
120 120 0 460634.12422272 4320604.71038478 308 183.636962890625
124 120 0 460634.12422272 4319604.71038478 309 398.881469726562
128 120 0 460634.12422272 4318604.71038478 310 273.958374023438
136 120 0 460634.12422272 4316604.71038478 311 304.275451660156
140 120 0 460634.12422272 4315604.71038478 312 345.418518066406
144 120 0 460634.12422272 4314604.71038478 313 454.097320556641
148 120 0 460634.12422272 4313604.71038478 314 355.034393310547
152 120 0 460634.12422272 4312604.71038478 315 542.649353027344
48 124 0 461634.12422272 4338604.71038478 316 254.686187744141
52 124 0 461634.12422272 4337604.71038478 317 463.761871337891
56 124 0 461634.12422272 4336604.71038478 318 466.927947998047
60 124 0 461634.12422272 4335604.71038478 319 241.819885253906
